count,team,plyr_id,name,position
541,sea,11358,red-bryant,LDE
542,sea,12762,michael-bennett,LDE
543,sea,10031,tony-mcdaniel,LDT
544,sea,16029,jesse-williams,LDT
545,sea,10529,brandon-mebane,RDT
546,sea,12692,clinton-mcdonald,RDT
547,sea,4864,chris-clemons,RDE
548,sea,11326,cliff-avril,RDE
549,sea,14214,malcolm-smith,WLB
550,sea,14946,bruce-irvin,WLB
551,sea,14979,bobby-wagner,MLB
552,sea,14103,allen-bradford,MLB
553,sea,14140,k.j.-wright,SLB
554,sea,15699,kyle-knox,SLB
555,sea,14086,richard-sherman,CB
556,sea,1775,antoine-winfield,CB
557,sea,13336,kam-chancellor,SS
558,sea,14274,jeron-johnson,SS
559,sea,13251,earl-thomas,FS
560,sea,13697,chris-maragos,FS
561,sea,9250,brandon-browner,CB
562,sea,13473,walter-thurmond,CB
563,chi,13494,corey-wootton,LDE
564,chi,14937,shea-mcclellin,LDE
565,chi,12695,henry-melton,LDT
566,chi,12672,corvey-irvin,LDT
567,chi,14049,stephen-paea,RDT
568,chi,13550,nate-collins,RDT
569,chi,3530,julius-peppers,RDE
570,chi,14160,cheta-ozougwu,RDE
571,chi,4526,lance-briggs,WLB
572,chi,15889,khaseem-greene,WLB
573,chi,5542,d.j.-williams,MLB
574,chi,15827,jon-bostic,MLB
575,chi,9674,james-anderson,SLB
576,chi,11192,blake-costanzo,SLB
577,chi,9648,tim-jennings,CB
578,chi,11365,zack-bowman,CB
579,chi,13307,major-wright,SS
580,chi,14315,anthony-walters,SS
581,chi,14016,chris-conte,FS
582,chi,11356,craig-steltz,FS
583,chi,4493,charles-tillman,CB
584,chi,15084,isaiah-frey,CB
585,det,15785,ezekiel-ansah,LDE
586,det,4996,israel-idonije,LDE
587,det,13234,ndamukong-suh,LDT
588,det,13519,jimmy-saddler-mcqueen,LDT
589,det,13990,nick-fairley,RDT
590,det,8605,c.j.-mosley,RDT
591,det,11288,jason-jones,RDE
592,det,13497,willie-young,RDE
593,det,12682,deandre-levy,WLB
594,det,16407,jon-morgan,WLB
595,det,9702,stephen-tulloch,MLB
596,det,15011,travis-lewis,MLB
597,det,13007,ashlee-palmer,SLB
598,det,15070,tahir-whitehead,SLB
599,det,10485,chris-houston,CB
600,det,14980,bill-bentley,CB
601,det,12716,glover-quin,SS
602,det,13297,amari-spievey,SS
603,det,12528,louis-delmas,FS
604,det,12644,don-carey,FS
605,det,8464,ron-bartell,CB
606,det,15863,darius-slay,CB
607,min,10546,brian-robison,LDE
608,min,13373,everson-griffen,LDE
609,min,4467,kevin-williams,LDT
610,min,14125,christian-ballard,LDT
611,min,11386,letroy-guion,RDT
612,min,9798,fred-evans,RDT
613,min,5651,jared-allen,RDE
614,min,13373,everson-griffen,RDE
615,min,10663,marvin-mitchell,WLB
616,min,10635,desmond-bishop,WLB
617,min,11636,erin-henderson,MLB
618,min,15023,audie-cole,MLB
619,min,9603,chad-greenway,SLB
620,min,14375,larry-dean,SLB
621,min,14948,josh-robinson,CB
622,min,15810,xavier-rhodes,CB
623,min,12721,jamarca-sanford,SS
624,min,14191,mistral-raymond,SS
625,min,14945,harrison-smith,FS
626,min,15079,robert-blanton,FS
627,min,13268,chris-cook,CB
628,min,13591,a.j.-jefferson,CB
629,atl,11388,kroy-biermann,LDE
630,atl,14182,cliff-matthews,LDE
631,atl,8473,jonathan-babineaux,LDT
632,atl,15012,travian-robertson,LDT
633,atl,13292,corey-peters,RDT
634,atl,12444,peria-jerry,RDT
635,atl,4514,osi-umenyiora,RDE
636,atl,15099,jonathan-massaquoi,RDE
637,atl,13243,sean-weatherspoon,WLB
638,atl,16171,joplo-bartu,WLB
639,atl,14006,akeem-dent,MLB
640,atl,16243,paul-worrilow,MLB
641,atl,10553,stephen-nicholas,SLB
642,atl,16171,joplo-bartu,SLB
643,atl,15812,desmond-trufant,CB
644,atl,13412,robert-mcclain,CB
645,atl,12530,william-moore,SS
646,atl,15993,zeke-motta,SS
647,atl,11332,thomas-decoud,FS
648,atl,16008,kemal-ishmael,FS
649,atl,4578,asante-samuel,CB
650,atl,15817,robert-alford,CB
651,car,10527,charles-johnson,LDE
652,car,15010,frank-alexander,LDE
653,car,5576,dwan-edwards,LDT
654,car,15862,kawann-short,LDT
655,car,15802,star-lotulelei,RDT
656,car,4870,colin-cole,RDT
657,car,13377,greg-hardy,RDE
658,car,14320,mario-addison,RDE
