game_id,coach_id,team,is_home,year
291213010,12,ten,1,2009
291213010,50,stl,0,2009
291213011,76,ind,1,2009
291213011,73,den,0,2009
291213012,77,kc,1,2009
291213012,80,buf,0,2009
291213013,69,oak,1,2009
291213013,25,wsh,0,2009
291213016,86,min,1,2009
291213016,18,cin,0,2009
291213017,2,ne,1,2009
291213017,13,car,0,2009
291213019,35,nyg,1,2009
291213019,23,phi,0,2009
291213027,75,tb,1,2009
291213027,72,nyj,0,2009
291213030,5,jac,1,2009
291213030,65,mia,0,2009
291213033,68,bal,1,2009
291213033,71,det,0,2009
291213034,56,hou,1,2009
291213034,83,sea,0,2009
291214025,70,sf,1,2009
291214025,59,ari,0,2009
291217030,5,jac,1,2009
291217030,76,ind,0,2009
291219018,42,no,1,2009
291219018,85,dal,0,2009
291220002,80,buf,1,2009
291220002,2,ne,0,2009
291220007,73,den,1,2009
291220007,69,oak,0,2009
291220008,71,det,1,2009
291220008,59,ari,0,2009
291220010,12,ten,1,2009
291220010,65,mia,0,2009
291220012,77,kc,1,2009
291220012,54,cle,0,2009
291220014,50,stl,1,2009
291220014,56,hou,0,2009
291220020,72,nyj,1,2009
291220020,67,atl,0,2009
291220021,23,phi,1,2009
291220021,70,sf,0,2009
291220023,63,pit,1,2009
291220023,58,gb,0,2009
291220024,44,sd,1,2009
291220024,18,cin,0,2009
291220026,83,sea,1,2009
291220026,75,tb,0,2009
291220029,13,car,1,2009
291220029,86,min,0,2009
291220033,68,bal,1,2009
291220033,38,chi,0,2009
291221028,25,wsh,1,2009
291221028,35,nyg,0,2009
291225010,12,ten,1,2009
291225010,44,sd,0,2009
291227001,67,atl,1,2009
291227001,80,buf,0,2009
291227004,18,cin,1,2009
291227004,77,kc,0,2009
291227005,54,cle,1,2009
291227005,69,oak,0,2009
291227009,58,gb,1,2009
291227009,83,sea,0,2009
291227011,76,ind,1,2009
291227011,72,nyj,0,2009
291227015,65,mia,1,2009
291227015,56,hou,0,2009
291227017,2,ne,1,2009
291227017,5,jac,0,2009
291227018,42,no,1,2009
291227018,75,tb,0,2009
291227019,35,nyg,1,2009
291227019,13,car,0,2009
291227021,23,phi,1,2009
291227021,73,den,0,2009
291227022,59,ari,1,2009
291227022,50,stl,0,2009
291227023,63,pit,1,2009
291227023,68,bal,0,2009
291227025,70,sf,1,2009
291227025,71,det,0,2009
291227028,25,wsh,1,2009
291227028,85,dal,0,2009
291228003,38,chi,1,2009
291228003,86,min,0,2009
300103002,80,buf,1,2009
300103002,76,ind,0,2009
300103005,54,cle,1,2009
300103005,5,jac,0,2009
300103006,85,dal,1,2009
300103006,23,phi,0,2009
300103007,73,den,1,2009
300103007,77,kc,0,2009
300103008,71,det,1,2009
300103008,38,chi,0,2009
300103013,69,oak,1,2009
300103013,68,bal,0,2009
300103014,50,stl,1,2009
300103014,70,sf,0,2009
300103015,65,mia,1,2009
300103015,63,pit,0,2009
300103016,86,min,1,2009
300103016,35,nyg,0,2009
300103020,72,nyj,1,2009
300103020,18,cin,0,2009
300103022,59,ari,1,2009
300103022,58,gb,0,2009
300103024,44,sd,1,2009
300103024,25,wsh,0,2009
300103026,83,sea,1,2009
300103026,12,ten,0,2009
300103027,75,tb,1,2009
300103027,67,atl,0,2009
300103029,13,car,1,2009
300103029,42,no,0,2009
300103034,56,hou,1,2009
300103034,2,ne,0,2009
300109004,18,cin,1,2009
300109004,72,nyj,0,2009
300109006,85,dal,1,2009
300109006,23,phi,0,2009
300110017,2,ne,1,2009
300110017,68,bal,0,2009
300110022,59,ari,1,2009
300110022,58,gb,0,2009
300116011,76,ind,1,2009
300116011,68,bal,0,2009
300116018,42,no,1,2009
300116018,59,ari,0,2009
300117016,86,min,1,2009
300117016,85,dal,0,2009
300117024,44,sd,1,2009
300117024,72,nyj,0,2009
300124011,76,ind,1,2009
300124011,72,nyj,0,2009
300124018,42,no,1,2009
300124018,86,min,0,2009
300207011,76,ind,1,2009
300207011,42,no,0,2009
300909018,42,no,1,2010
300909018,86,min,0,2010
300912002,81,buf,1,2010
300912002,65,mia,0,2010
300912003,38,chi,1,2010
300912003,71,det,0,2010
300912010,12,ten,1,2010
300912010,69,oak,0,2010
300912014,50,stl,1,2010
300912014,59,ari,0,2010
300912017,2,ne,1,2010
300912017,18,cin,0,2010
300912019,35,nyg,1,2010
300912019,13,car,0,2010
300912021,23,phi,1,2010
300912021,58,gb,0,2010
300912023,63,pit,1,2010
300912023,67,atl,0,2010
300912026,83,sea,1,2010
300912026,70,sf,0,2010
300912027,75,tb,1,2010
300912027,54,cle,0,2010
300912028,25,wsh,1,2010
300912028,85,dal,0,2010
300912030,5,jac,1,2010
300912030,73,den,0,2010
300912034,56,hou,1,2010
300912034,76,ind,0,2010
300913012,77,kc,1,2010
300913012,44,sd,0,2010
300913020,72,nyj,1,2010
300913020,68,bal,0,2010
300919001,67,atl,1,2010
300919001,59,ari,0,2010
300919004,18,cin,1,2010
300919004,68,bal,0,2010
300919005,54,cle,1,2010
300919005,77,kc,0,2010
